A,AAAA,A__ip_address,A__country_code,A__asn_date,A__reg_timestamp,A__last_updated,AAAA__ip_address,AAAA__country_code,AAAA__asn_date,AAAA__reg_timestamp,AAAA__last_updated,MX,NS,SOA,MX__001,MX__002,MX__003,MX__004,MX__005,MX__006,MX__007,MX__008,NS__001,NS__002,NS__003,NS__004,NS__005,NS__006,NS__007,NS__008,NS__009,NS__010,NS__011,NS__012,NS__013,NS__014,NS__015,SOA__-,CNAME,TXT,TXT__001,TXT__002,TXT__003,TXT__004,TXT__005,TXT__006,TXT__007,TXT__008,TXT__009,TXT__010,TXT__011,TXT__012,TXT__013,TXT__014,TXT__015,TXT__016,TXT__017,TXT__018,TXT__019,TXT__020,TXT__021,SRV,PTR,domain_name
,,172.67.131.11,US,2015-02-25,2021-05-26T18:01:44-04:00,2015-02-25T20:57:09-05:00,2606:4700:3030::6815:9dc,US,2011-11-01,2017-02-17T18:07:51-05:00,2011-11-01T15:59:58-04:00,,,,,,,,,,,,aisha.ns.cloudflare.com.,bill.ns.cloudflare.com.,,,,,,,,,,,,,,aisha.ns.cloudflare.com. dns.cloudflare.com. 2036212659 10000 2400 604800 3600,,,"""google-site-verification=h4lKu46OL51mcsyiMyWgLJfN_xe97Fe0m7Up65LN9nE""",,,,,,,,,,,,,,,,,,,,,,,willyousurvive.com
,,162.210.196.172,US,2013-04-26,2013-08-22T07:54:23-04:00,2013-08-22T07:54:23-04:00,,,,,,,,,,,,,,,,,ns1.numbatdns.com.,ns2.numbatdns.com.,,,,,,,,,,,,,,ns1.numbatdns.com. admin.underthegarden.com. 2023112105 86400 10800 604800 300,,,,,,,,,,,,,,,,,,,,,,,,,,underthegarden.com
,,104.27.203.89,US,2014-03-28,2021-05-26T18:01:10-04:00,2014-03-28T11:30:55-04:00,2606:4700:91b8:5a80:4b3b:4c1:bc6:748a,US,2011-11-01,2017-02-17T18:07:51-05:00,2011-11-01T15:59:58-04:00,,,,1 aspmx.l.google.com.,10 alt3.aspmx.l.google.com.,10 alt4.aspmx.l.google.com.,5 alt1.aspmx.l.google.com.,,,,,desi.ns.cloudflare.com.,graham.ns.cloudflare.com.,,,,,,,,,,,,,,desi.ns.cloudflare.com. dns.cloudflare.com. 2327185190 10000 2400 604800 1800,,,"""google-site-verification=GVUxAg1ebQPTXpARK9lOrMtPgxd0x5TEQ2O5v6dUDv8""","""google-site-verification=6sHL2Arkc5gD2-_AnSlKLwHhGZTuvlItUZexrLQXf20""","""google-site-verification=OoavfQ5lxsJVE-ULbIeu0-4rFFNqwuIgdxfgbWAC3I0""","""google-site-verification=QUEYEBVLdVhvRW1wxVlWbJCv8wbgU-q8nuf3IL_sZKE""","""google-site-verification=F_MBptYcwNVbw_u0th_R9Ccpb9ayCxwBiSW5bA79IJI""","""google-site-verification=VM7KtltQmo7Ta3XFUlbL1SUzkYmybf1qTqN5CsSImGU""","""google-site-verification=oC54G9cSflP-MJf3GZkeutGB7r8PBzqtvSr-BMeC3Yg""",,,,,,,,,,,,,,,,,fileplanet.com
,,72.3.221.1,US,2004-10-04,2015-07-24T15:05:48-04:00,2015-07-24T15:05:48-04:00,,,,,,,,,20 mx2.emailsrvr.com.,10 mx1.emailsrvr.com.,,,,,,,ns2.rackspace.com.,ns.rackspace.com.,,,,,,,,,,,,,,ns.rackspace.com. hostmaster.rackspace.com. 1597212419 86400 7200 604800 300,,,"""v=spf1 mx include:_spf.google.com include:emailsrvr.com ip4:74.205.41.30 include:createsend.com ~all""","""google-site-verification=iy5S6xfwjLF4tI1DdxXEXpqrppTpFDt8Joo3JotHNIk""","""google-site-verification=lUvJtcW_1I7skGS-dcKehlcz5u_jMUeTdEYfITjmcbY""","""google-site-verification=n_xqxwQikHwxGi3PJdcIkMBIeq3Mw68_6F1jDZkvfyU""","""google-site-verification=pf9Ixc6DxthMeERP-uo_75nmhFAub3j665ZmL3mkm90""",,,,,,,,,,,,,,,,,,,funeducation.com
,,172.67.135.18,US,2015-02-25,2021-05-26T18:01:44-04:00,2015-02-25T20:57:09-05:00,2606:4700:3030::6815:6ae,US,2011-11-01,2017-02-17T18:07:51-05:00,2011-11-01T15:59:58-04:00,,,,,,,,,,,,reza.ns.cloudflare.com.,rudy.ns.cloudflare.com.,,,,,,,,,,,,,,reza.ns.cloudflare.com. dns.cloudflare.com. 2326987541 10000 2400 604800 1800,,,,,,,,,,,,,,,,,,,,,,,,,,iq-research.info
,,95.168.203.112,CZ,2009-01-07,2010-09-13T13:36:11Z,2014-03-13T15:02:53Z,,,,,,,,,10 in.smtp.cz.,,,,,,,,ns1.eurodns.com.,ns2.eurodns.com.,,,,,,,,,,,,,,ns1.eurodns.com. hostmaster.eurodns.com. 2022010500 86400 7200 604800 86400,,,,,,,,,,,,,,,,,,,,,,,,,,iq-test.co.uk
,,209.97.190.105,US,1997-07-03,2020-04-03T14:18:28-04:00,1997-07-03T00:00:00-04:00,,,,,,,,,,,,,,,,,amber.ns.cloudflare.com.,hal.ns.cloudflare.com.,,,,,,,,,,,,,,amber.ns.cloudflare.com. dns.cloudflare.com. 2327123463 10000 2400 604800 1800,,,,,,,,,,,,,,,,,,,,,,,,,,iqtest.co.uk
,,15.197.204.56,US,2021-01-28,2022-04-26T10:06:24-04:00,2021-01-28T14:18:31-05:00,,,,,,,,,,,,,,,,,ns37.domaincontrol.com.,ns38.domaincontrol.com.,,,,,,,,,,,,,,ns37.domaincontrol.com. dns.jomax.net. 2023033116 28800 7200 604800 600,,,,,,,,,,,,,,,,,,,,,,,,,,iqtest.co
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iqtestnow.org
,,,,,,,,,,,,,,,1 mail.h-email.net.,,,,,,,,ns2.redfoxdns.com.,ns1.redfoxdns.com.,,,,,,,,,,,,,,ns1.redfoxdns.com. admin.iqtestonline24.com. 2023112104 86400 10800 604800 300,,,"""v=spf1 ip6:fd9c:d030:168c::/48 -all""",,,,,,,,,,,,,,,,,,,,,,,iqtestonline24.com
